"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","133","[PL-API-003.2.2 / PL-BRULE-002.2.2 NEG] 400 cuando falta el campo type","","2026-03-06","failed","2026-03-06","Playlist API > POST /api/playlist · Creación de playlists","playlist/playlist.test.js","",""
"","70","TC-CAT-POST-001: Crear categoría mínima (solo name)","","2026-03-06","passed","2026-03-06","POST /api/category - Creación de categorías","category/post_category.test.js","",""
"","554","TC_MED_META_GET","","2026-03-06","passed","2026-03-06","10. Subrecursos (Metas)","media/media.test.js","",""
"","464","TC_MED_003_POST_MissingTitle","","2026-03-06","passed","2026-03-06","2. Create Media (POST /api/media)","media/media.test.js","",""
"","390","TC_MED_PREVIEW_POST","","2026-03-06","passed","2026-03-06","11. Subrecursos Adicionales","media/media.test.js","",""
"","106","TC_LIV_008_GET_FilterOffline","","2026-03-06","passed","2026-03-06","Live Stream API > 2. Búsqueda y Filtros","live/live.test.js","",""
"","707","TC_LIV_006_GET_SearchByName","","2026-03-06","passed","2026-03-06","Live Stream API > 2. Búsqueda y Filtros","live/live.test.js","",""
"","386","TC_MED_005c_GET_WithoutCategoryAndId","","2026-03-06","passed","2026-03-06","3b. Read - Filtro without_category + id","media/media.test.js","",""
"","554","TC_LIV_030_POST_MediaLive","","2026-03-06","passed","2026-03-06","Live Stream API > 8. Configuración Avanzada","live/live.test.js","",""
"","200","[BR-PL-005] El type es inmutable: actualizar con type diferente no lo cambia","","2026-03-06","failed","2026-03-06","Playlist API > Reglas de negocio (BR) verificables por API","playlist/playlist.test.js","",""
"","21","ID inexistente devuelve 404","","2026-03-06","passed","2026-03-06","💵 Ad - GET )","ad/get_ad.test.js","",""
"","436","TC_MED_THUMBNAIL_UPLOAD_POST","","2026-03-06","skipped","2026-03-06","11. Subrecursos Adicionales","media/media.test.js","",""
"","79","TC_MED_008_GET_DetailSuccess","","2026-03-06","passed","2026-03-06","3. Read Media (GET /api/media & /api/media/:id)","media/media.test.js","",""
"","596","TC_LIV_027_028_POST_LogoConfig","","2026-03-06","passed","2026-03-06","Live Stream API > 7. Thumbnails y Logo","live/live.test.js","",""
"","830","TC_MED_014d_FILTER_Published","","2026-03-06","passed","2026-03-06","6. Filtros Avanzados (filterData)","media/media.test.js","",""
"","727","TC-008: Error al crear cupón con código duplicado","","2026-03-06","passed","2026-03-06","🎫 Cupones ","cupones/create_coupon.test.js","",""
"","176","[PL-API-003.2 NEG] 400 al crear token sin nombre","","2026-03-06","passed","2026-03-06","Playlist API > Access Tokens · POST & DELETE /api/playlist/{id}/access-token","playlist/playlist.test.js","",""
"","76","[PL-API-003.1.1] La playlist recién creada aparece en el listado","","2026-03-06","passed","2026-03-06","Playlist API > GET /api/playlist · Listado de playlists","playlist/playlist.test.js","",""
"","18","Debe soportar with_count (conteo de hijos)","","2026-03-06","passed","2026-03-06","GET /api/category - Búsqueda y listados de categorías","category/get_category.test.js","",""
"","566","TC_LIV_004b_POST_UpdatePartialConfig","","2026-03-06","passed","2026-03-06","Live Stream API > 1. CRUD Principal (POST/GET/DELETE)","live/live.test.js","",""
"","893","TC_MED_SUBTITLE_DELETE","","2026-03-06","passed","2026-03-06","11. Subrecursos Adicionales","media/media.test.js","",""
"","886","TC_MED_014e_FILTER_TypeVideo","","2026-03-06","passed","2026-03-06","6. Filtros Avanzados (filterData)","media/media.test.js","",""
"","238","TC_SHW_NEG_040_UPDATE_CannotChangeShowType","","2026-03-06","passed","2026-03-06","3. Update (POST /api/show/:id)","show/show.test.js","",""
"","19","TC_MED_META_GET_NotFound","","2026-03-06","passed","2026-03-06","10. Subrecursos (Metas)","media/media.test.js","",""
"","78","TC_SHW_073_VALIDATION_EmptyGenresArray","","2026-03-06","passed","2026-03-06","5. Edge Cases y Validaciones","show/show.test.js","",""
"","57","[PL-BRULE-002.2.7] Crea playlist Manual con featured=true","","2026-03-06","passed","2026-03-06","Playlist API > POST /api/playlist · Creación de playlists","playlist/playlist.test.js","",""
"","527","TC_LIV_015_POST_RemoveFavorite","","2026-03-06","passed","2026-03-06","Live Stream API > 4. Favoritos (toggle-bookmark)","live/live.test.js","",""
"","487","TC_LIV_029_DELETE_RemoveLogo","","2026-03-06","passed","2026-03-06","Live Stream API > 7. Thumbnails y Logo","live/live.test.js","",""
"","402","[PL-API-003.1.2] Incluye medias cuando se pasa ?medias=true","","2026-03-06","passed","2026-03-06","Playlist API > GET /api/playlist/{id} · Detalle de playlist","playlist/playlist.test.js","",""
"","3510","TC_MED_010b_UPDATE_PublishUnpublish","","2026-03-06","passed","2026-03-06","4. Partial Update (POST /api/media/:id)","media/media.test.js","",""
"","32","[PL-API-003.1.1] Respeta el parámetro limit","","2026-03-06","passed","2026-03-06","Playlist API > GET /api/playlist · Listado de playlists","playlist/playlist.test.js","",""
"","509","TC_LIV_005_DELETE_Stream","","2026-03-06","failed","2026-03-06","Live Stream API > 1. CRUD Principal (POST/GET/DELETE)","live/live.test.js","",""
"","919","TC_LIV_044_GET_Schedule","","2026-03-06","passed","2026-03-06","Live Stream API > 9. Schedule y Restream","live/live.test.js","",""
"","50","TC_SHW_NEG_051_REMOVE_InvalidShowId","","2026-03-06","passed","2026-03-06","4. Remove (DELETE /api/show/:id)","show/show.test.js","",""
"","95","[PL-FUNC-001.1.4] Crea playlist Playout con múltiples reglas","","2026-03-06","passed","2026-03-06","Playlist API > POST /api/playlist · Creación de playlists","playlist/playlist.test.js","",""
"","21","Debe devolver OK y un array de categorías (sin filtros)","","2026-03-06","passed","2026-03-06","GET /api/category - Búsqueda y listados de categorías","category/get_category.test.js","",""
"","807","TC_MED_014a_FILTER_TitleIs","","2026-03-06","passed","2026-03-06","6. Filtros Avanzados (filterData)","media/media.test.js","",""
"","80","TC_SHW_NEG_001_INSERT_MissingAccount","","2026-03-06","passed","2026-03-06","1. Create (POST /api/show)","show/show.test.js","",""
"","63","[PL-FUNC-001.3.1 / PL-API-003.1.9] Genera access token con nombre/email","","2026-03-06","failed","2026-03-06","Playlist API > Access Tokens · POST & DELETE /api/playlist/{id}/access-token","playlist/playlist.test.js","",""
"","74","[PL-FUNC-001.3 / UC-PL-006] Aplica restricciones geográficas vía access_rules","","2026-03-06","passed","2026-03-06","Playlist API > PUT /api/playlist/{id} · Actualización de playlists","playlist/playlist.test.js","",""
"","624","TC_LIV_034_POST_RemoveAd","","2026-03-06","passed","2026-03-06","Live Stream API > 8. Configuración Avanzada","live/live.test.js","",""
"","17","TC_MED_THUMBS_GET_NotFound","","2026-03-06","passed","2026-03-06","11. Subrecursos Adicionales","media/media.test.js","",""
"","76","min_media_time_length negativo se normaliza o devuelve 400","","2026-03-06","passed","2026-03-06","💵 Ad - Update )","ad/update_ad.test.js","",""
"","38","TC_MED_018_SEARCH_VisibilityAdmin","","2026-03-06","passed","2026-03-06","7. Search (GET /api/media/search)","media/media.test.js","",""
"","234","TC_SHW_040_UPDATE_PartialUpdate","","2026-03-06","passed","2026-03-06","3. Update (POST /api/show/:id)","show/show.test.js","",""
"","230","TC-011: G Buscar cupón por código","","2026-03-06","passed","2026-03-06","🎫 Cupones ","cupones/create_coupon.test.js","",""
"","547","TC_LIV_003_GET_DetailStream","","2026-03-06","passed","2026-03-06","Live Stream API > 1. CRUD Principal (POST/GET/DELETE)","live/live.test.js","",""
"","85","TC_SHW_NEG_004_INSERT_InvalidDateFormat","","2026-03-06","passed","2026-03-06","1. Create (POST /api/show)","show/show.test.js","",""
"","152","[PL-FUNC-001.1.1] Crea playlist Manual mínima (sin medias)","","2026-03-06","passed","2026-03-06","Playlist API > POST /api/playlist · Creación de playlists","playlist/playlist.test.js","",""
"","385","TC-012: Crear y eliminar cupón temporal","","2026-03-06","passed","2026-03-06","🎫 Cupones ","cupones/create_coupon.test.js","",""
"","798","TC_LIV_024_POST_RefreshToken","","2026-03-06","passed","2026-03-06","Live Stream API > 6. Token de Publicación","live/live.test.js","",""
"","1358","TC_LIV_009_GET_FilterByTypeVideoAudio","","2026-03-06","passed","2026-03-06","Live Stream API > 2. Búsqueda y Filtros","live/live.test.js","",""
"","263","TC_SHW_051_REMOVE_ShowStatusDeletedAfterRemove","","2026-03-06","passed","2026-03-06","4. Remove (DELETE /api/show/:id)","show/show.test.js","",""
"","28","Debe soportar flag full (ruta completa en nombre)","","2026-03-06","passed","2026-03-06","GET /api/category - Búsqueda y listados de categorías","category/get_category.test.js","",""
"","611","[PL-FUNC-001.2.3 / BR-PL-003] Al vaciar rules.manual.medias vía update, medias ya no aparece","","2026-03-06","passed","2026-03-06","Playlist API > Reglas de negocio (BR) verificables por API","playlist/playlist.test.js","",""
"","174","[PL-BRULE-002.2.7] Actualiza flags featured y no_ad","","2026-03-06","passed","2026-03-06","Playlist API > PUT /api/playlist/{id} · Actualización de playlists","playlist/playlist.test.js","",""
"","81","Obtener Ad por ID (200)","","2026-03-06","passed","2026-03-06","💵 Ad - GET )","ad/get_ad.test.js","",""
